artist_mbid,mbid_canonico,nombre,nombre_orden,tipo,genero,area,anio_inicio,anio_fin,tags,wikidata,fuente
e5fd8fd1-9073-4586-a741-e44164e543db,e5fd8fd1-9073-4586-a741-e44164e543db,A Band Called Pain,"Band Called Pain, A",Group,,United States,2001,,,https://www.wikidata.org/wiki/Q4655349,musicbrainz
e601c7cc-1939-469a-ab36-7eecbd448be7,e601c7cc-1939-469a-ab36-7eecbd448be7,Smoke or Fire,Smoke or Fire,Group,,United States,2004,,punk,https://www.wikidata.org/wiki/Q3487029,musicbrainz
e6024269-8a9f-423d-ad53-de7a7b698b89,e6024269-8a9f-423d-ad53-de7a7b698b89,Wisdom in Chains,Wisdom in Chains,Group,,United States,2002,,hardcore punk,https://www.wikidata.org/wiki/Q8027417,musicbrainz
e605c65b-02ad-4b48-bae1-cea97b26e6fb,e605c65b-02ad-4b48-bae1-cea97b26e6fb,Pure,Pure,Group,,United Kingdom,,,noise;power electronics,,musicbrainz
e6071b18-261e-46a1-8ee6-4dbd7f5f99f3,e6071b18-261e-46a1-8ee6-4dbd7f5f99f3,Marc Ribot,"Ribot, Marc",Person,Male,United States,1954,,avant-garde jazz;experimental;experimental rock;free improvisation;free jazz,https://www.wikidata.org/wiki/Q539506,musicbrainz
e60a3195-f7dc-4f06-ba39-3fade4f3d45e,e60a3195-f7dc-4f06-ba39-3fade4f3d45e,Carpe DM,Carpe DM,Group,,,,,,,musicbrainz
e60a4481-472a-42cf-a84d-6a9419e4e5e3,e60a4481-472a-42cf-a84d-6a9419e4e5e3,Peter Broderick,"Broderick, Peter",Person,Male,United States,1987,,indie folk;modern classical;session;singer-songwriter,https://www.wikidata.org/wiki/Q7172969,musicbrainz
e60b42d5-1c0a-4e4b-a66d-43fc6ea65058,e60b42d5-1c0a-4e4b-a66d-43fc6ea65058,Inland Knights,Inland Knights,Group,,Nottingham,1993,,,,musicbrainz
e60dbba7-6f55-429a-bd22-5e9c6a87ae70,e60dbba7-6f55-429a-bd22-5e9c6a87ae70,Bruce Hornsby,"Hornsby, Bruce",Person,Male,United States,1954,,rock;bluegrass;blues rock;folk;gospel,https://www.wikidata.org/wiki/Q918502,musicbrainz
e60dd342-c21f-4e93-a946-d9b6f40138e6,e60dd342-c21f-4e93-a946-d9b6f40138e6,Don Tetto,Don Tetto,Group,,Colombia,2003,,latin rock,https://www.wikidata.org/wiki/Q5293608,musicbrainz
e60e1f0b-1e8c-45e7-9d4a-222db9cb34f7,e60e1f0b-1e8c-45e7-9d4a-222db9cb34f7,New Model Army,New Model Army,Group,,United Kingdom,1980,,alternative rock;post-punk;punk;rock;folk rock,https://www.wikidata.org/wiki/Q1501951,musicbrainz
e61892d0-4ad2-474a-a5fa-479dc28075ed,e61892d0-4ad2-474a-a5fa-479dc28075ed,Del McCoury,"McCoury, Del",Person,Male,United States,1939,,american;bluegrass;country,https://www.wikidata.org/wiki/Q5252933,musicbrainz
e61993e5-4c8a-4fed-b9f8-769d2726cb9b,e61993e5-4c8a-4fed-b9f8-769d2726cb9b,Beggars Opera,Beggars Opera,Group,,United Kingdom,1970,1974,progressive rock;symphonic prog;art rock;boogie rock;hard rock,https://www.wikidata.org/wiki/Q814312,musicbrainz
e619d8c4-5d76-498a-9d6d-086eef5ea922,e619d8c4-5d76-498a-9d6d-086eef5ea922,The Thrillseekers,"Thrillseekers, The",Person,Male,United Kingdom,,,electronic;trance,https://www.wikidata.org/wiki/Q328453,musicbrainz
e61a882e-cee2-4aa9-8d73-bee3c85a44c0,e61a882e-cee2-4aa9-8d73-bee3c85a44c0,Paula Toller,"Toller, Paula",Person,Female,Brazil,1962,,rock;world,https://www.wikidata.org/wiki/Q2920425,musicbrainz
